Animal No	Parents	DOB	Location	Cage No	Animal No in Cage	Sex	Purpose	Surgery date	Injection	Comments	Pain model	Sac date	Section date	Mounted	Cryoprotect
184	WTL262		5558C	42	6	M	"Stimulation in dHPC, FP in Nac (CONTROL)"	8/31/20	"AAV-CAMKII-ChR2-eYPF in dHPC, AAV9-hSYN-eGFP in Nac"	FDIC	-	-	-	-	-
															
185	JAX		5558C	NIL	69	M	Lei-Dab7 CPP	9/1/20	Cannula Implants	FDIC	-	-	-	-	-
186	JAX		5558C	NIL	70	M	Lei-Dab7 CPP	9/1/20	Cannula Implants	FDIC	-	-	-	-	-
187	JAX		5558C	NIL	71	M	Lei-Dab7 CPP	9/1/20	Cannula Implants	FDIC	-	-	-	-	-
188	JAX		5558C	NIL	72	M	Lei-Dab7 CPP	9/1/20	Cannula Implants	FDIC	-	-	-	-	-
189	JAX		5558C	NIL	73	M	Lei-Dab7 CPP	9/1/20	Cannula Implants			10/16/20	10/19/20	Y	Y
190	JAX		5558C	NIL	74	M	Lei-Dab7 CPP	9/1/20	Cannula Implants			10/16/20	10/19/20	Y	Y
191	JAX		5558C	NIL	75	M	Lei-Dab7 CPP	9/1/20	Cannula Implants	FDIC	-	-	-	-	-
192	JAX		5558C	NIL	76	M	Lei-Dab7 CPP	9/1/20	Cannula Implants	FDIC	-	-	-	-	-
193	JAX		5558C	NIL	77	M	Lei-Dab7 CPP	9/1/20	Cannula Implants	FDIC	-	-	-	-	-
194	JAX		5558C	NIL	78	M	Lei-Dab7 CPP	9/1/20	Cannula Implants			10/16/20	10/19/20	Y	Y
195	JAX		5558C	NIL	79	M	Lei-Dab7 CPP	9/1/20	Cannula Implants			10/16/20	10/19/20		
196	JAX		5558C	NIL	80	M	Lei-Dab7 CPP	9/1/20	Cannula Implants	FDIC	-	-	-	-	-
197	JAX		5558C	NIL	81	M	Lei-Dab7 CPP	9/1/20	Cannula Implants	FDIC	-	-	-	-	-
198	JAX		5558C	NIL	82	M	Lei-Dab7 CPP	9/1/20	Cannula Implants			10/16/20	10/19/20	Y	Y
199	JAX		5558C	NIL	83	M	Lei-Dab7 CPP	9/1/20	Cannula Implants			10/16/20	10/19/20	Y	Y
200	JAX		5558C	NIL	84	M	Lei-Dab7 CPP	9/1/20	Cannula Implants			10/16/20	10/19/20	Y	Y
															
201	WTL289		5558C	43	1	M	"Stimulation in dHPC, FP in Nac (CONTROL)"	10/5/20	"AAV-CAMKII-ChR2-eYPF in dHPC, AAV9-hSYN-eGFP in Nac"			12/10/20	12/14/20	Y	Y
202	WTL289		5558C	43	2	M	"Stimulation in dHPC, FP in Nac (CONTROL)"	10/5/20	"AAV-CAMKII-ChR2-eYPF in dHPC, AAV9-hSYN-eGFP in Nac"			12/10/20	12/14/20	Y	Y
203	WTL289		5558C	43	3	M	"Stimulation in dHPC, FP in Nac (CONTROL)"	10/5/20	"AAV-CAMKII-ChR2-eYPF in dHPC, AAV9-hSYN-eGFP in Nac"			12/10/20	12/14/20	Y	Y
204	WTL289		5558C	43	4	M	"Stimulation in dHPC, FP in Nac (CONTROL)"	10/5/20	"AAV-CAMKII-ChR2-eYPF in dHPC, AAV9-hSYN-eGFP in Nac"			12/10/20	12/14/20	Y	Y
205	WTL288		5558C	43	5	M	"Stimulation in dHPC, FP in Nac (CONTROL)"	10/5/20	"AAV-CAMKII-ChR2-eYPF in dHPC, AAV9-hSYN-eGFP in Nac"			12/10/20	12/14/20	Y	Y
															
206	WTL290		5558C	44	1	M	"Stimulation in dHPC, FP in Nac"	10/5/20	"AAV-CAMKII-ChR2-eYPF in dHPC, AAV9-hSYN-Gcamp-GFP in Nac"			12/10/20	12/15/20	Y	Y
207					2	M						12/10/20	12/15/20	Y	Y
208	WTL291				3	M						12/10/20	12/15/20	Y	Y
209					4	M						12/10/20	12/15/20	Y	Y
210					5	M						12/10/20	12/15/20	Y	Y
															
210	JAX		5558C	NIL	85		Lei-Dab7 CPP		Cannula Implants			10/29/20	11/3/20	Y	Y
211	JAX		5558C	NIL	86		Lei-Dab7 CPP		Cannula Implants	FDIC	-	-	-	-	-
212	JAX		5558C	NIL	87		Lei-Dab7 CPP		Cannula Implants	FDIC	-	-	-	-	-
213	JAX		5558C	NIL	88		Lei-Dab7 CPP		Cannula Implants	FDIC	-	-	-	-	-
214	JAX		5558C	NIL	89		Lei-Dab7 CPP		Cannula Implants			10/29/20	11/3/20	Y	Y
215	JAX		5558C	NIL	90		Lei-Dab7 CPP		Cannula Implants			10/29/20	11/3/20	Y	Y
216	JAX		5558C	NIL	91		Lei-Dab7 CPP		Cannula Implants			10/29/20	11/3/20	Y	Y
217	JAX		5558C	NIL	92		Lei-Dab7 CPP		Cannula Implants	FDIC	-	-	-	-	-
218	JAX		5558C	NIL	93		Lei-Dab7 CPP		Cannula Implants			10/29/20	11/3/20	Y	Y
219	JAX		5558C	NIL	94		Lei-Dab7 CPP		Cannula Implants			10/29/20	11/3/20	Y	Y
220	JAX		5558C	NIL	95		Lei-Dab7 CPP		Cannula Implants			10/29/20	11/3/20	Y	Y
221	JAX		5558C	NIL	96		Lei-Dab7 CPP		Cannula Implants			10/29/20	11/3/20	Y	Y
222	JAX		5558C	NIL	97		Lei-Dab7 CPP		Cannula Implants			10/29/20	11/3/20	Y	Y
223	JAX		5558C	NIL	98		Lei-Dab7 CPP		Cannula Implants	FDIC	-	-	-	-	-
224	JAX		5558C	NIL	99		Lei-Dab7 CPP		Cannula Implants	FDIC	-	-	-	-	-
225	JAX		5558C	NIL	100		Lei-Dab7 CPP		Cannula Implants	FDIC	-	-	-	-	-
226	JAX		5558C	NIL	101		Lei-Dab7 CPP		Cannula Implants			10/29/20	11/3/20	Y	Y
227	JAX		5558C	NIL	102		Lei-Dab7 CPP		Cannula Implants			10/29/20	11/3/20	Y	Y
228	JAX		5558C	NIL	103		Lei-Dab7 CPP		Cannula Implants			10/29/20	11/3/20	Y	Y
229	JAX		5558C	NIL	104		Lei-Dab7 CPP		Cannula Implants			10/29/20	11/3/20	Y	Y
															
230	WTL296		5558C	45	1	M	"Stimulation in dHPC, FP in Nac"	10/27/20	"AAV-CAMKII-eYPF in dHPC (CONTROL), AAV9-hSYN-Gcamp-GFP in Nac"			12/10/20	12/15/20	Y	Y
231	WTL296		5558C	45	2	M	"Stimulation in dHPC, FP in Nac"	10/27/20	"AAV-CAMKII-eYPF in dHPC (CONTROL), AAV9-hSYN-Gcamp-GFP in Nac"	Overly Anxious	-	12/4/20	12/21/20	Y	-
232	WTL296		5558C	45	3	M	"Stimulation in dHPC, FP in Nac"	10/27/20	"AAV-CAMKII-eYPF in dHPC (CONTROL), AAV9-hSYN-Gcamp-GFP in Nac"			12/10/20	12/15/20	Y	Y
233	WTL297		5558C	45	4	M	"Stimulation in dHPC, FP in Nac"	10/27/20	"AAV-CAMKII-eYPF in dHPC (CONTROL), AAV9-hSYN-Gcamp-GFP in Nac"			12/10/20	12/15/20	Y	Y
234	WTL297		5558C	45	5	M	"Stimulation in dHPC, FP in Nac"	10/27/20	"AAV-CAMKII-eYPF in dHPC (CONTROL), AAV9-hSYN-Gcamp-GFP in Nac"			12/10/20	12/15/20	Y	Y
235	WTL297		5558C	45	6	M	"Stimulation in dHPC, FP in Nac"	10/27/20	"AAV-CAMKII-eYPF in dHPC (CONTROL), AAV9-hSYN-Gcamp-GFP in Nac"			12/10/20	12/15/20	Y	Y
															
236	WTL295		5558C	46	1	M	"Stimulation in dHPC, FP in Nac"	10/27/20	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV9-hSYN-GcAMP-GFP in Nac"	Headcap came out		12/2/20	12/21/20	-	Y
237	WTL295		5558C	46	2	M	"Stimulation in dHPC, FP in Nac"	10/27/20	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV9-hSYN-GcAMP-GFP in Nac"			1/11/21	1/15/21	1/20/21	Y
238	WTL295		5558C	46	3	M	"Stimulation in dHPC, FP in Nac"	10/27/20	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV9-hSYN-GcAMP-GFP in Nac"			1/11/21	1/15/21	1/20/21	Y
239	WTL295		5558C	46	4	M	"Stimulation in dHPC, FP in Nac"	10/27/20	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV9-hSYN-GcAMP-GFP in Nac"			1/11/21	1/15/21	1/20/21	Y
															
240	WTL294		5558C	47	1	M	Cannula/Elec combo for SK2	10/28/20	Cannula/Elec combo in dHPC	FDIC		-	-	-	-
241	WTL294		5558C	47	2	M	Cannula/Elec combo for SK2	10/28/20	Cannula/Elec combo in dHPC	Anxious		2/16/21	2/23/21	2/26/21	Y
															
242	WTL299		5558C		105	M	Lei-Dab7 CPP	11/12/20	Cannula Implants			12/4/20	12/8/21	12/9/21	Y
243	WTL299		5558C		106	M	Lei-Dab7 CPP	11/12/20	Cannula Implants	FDIC	-	-	-	-	-
244	WTL299		5558C		107	M	Lei-Dab7 CPP	11/12/20	Cannula Implants	FDIC	-	-	-	-	-
245	WTL299		5558C		108	M	Lei-Dab7 CPP	11/12/20	Cannula Implants	Sac for excessive grooming	-	-	-	-	-
															
246	WTL303		5558C		109	M	Lei-Dab7 CPP	11/18/20	Cannula Implants			12/4/20	12/8/21	12/9/21	Y
247	WTL303		5558C		110	M	Lei-Dab7 CPP	11/18/20	Cannula Implants	FDIC	-	-	-	-	-
248	WTL303		5558C		111	M	Lei-Dab7 CPP	11/18/20	Cannula Implants			12/4/20	12/8/21	12/9/21	Y
249	WTL306		5558C		112	M	Lei-Dab7 CPP	11/18/20	Cannula Implants			12/4/20	12/8/21	12/9/21	Y
															
250	WTL313	10/19/20	5558C	48	1	M	Cannula/Elec combo for SK2	12/22/20	Cannula/Elec combo in dHPC			2/16/21	2/23/21	2/25/21	Y
251	WTL313	10/19/20	5558C	48	2	M	Cannula/Elec combo for SK2	12/22/20	Cannula/Elec combo in dHPC			2/16/21	2/23/21	2/25/21	Y
252	WTL313	10/19/20	5558C	48	3	M	Cannula/Elec combo for SK2	12/22/20	Cannula/Elec combo in dHPC			2/16/21	2/23/21	2/25/21	Y
253	WTL314	23/20/2020	5558C	48	4	M	Cannula/Elec combo for SK2	12/22/20	Cannula/Elec combo in dHPC	Headcap came out		1/11/21	2/24/21	2/26/21	Y
254	WTL314	23/20/2020	5558C	48	5	M	Cannula/Elec combo for SK2	12/22/20	Cannula/Elec combo in dHPC			2/16/21	2/24/21	2/26/21	Y
255	WTL314	23/20/2020	5558C	48	6	M	Cannula/Elec combo for SK2	12/22/20	Cannula/Elec combo in dHPC	Headcap came out		1/11/21	2/24/21	2/26/21	Y
															
256	WTL309	10/10/20	5558C	49	1	M	"Stimulation in SuM, FP in NAc"	1/5/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV9-hSYN-GcAMP-GFP in Nac, fibers in SuM and NAc"				3/2/21	3/4/21	Y
257	WTL309	10/10/20	5558C	49	2	M	"Stimulation in SuM, FP in NAc"	1/5/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV9-hSYN-GcAMP-GFP in Nac, fibers in SuM and NAc"				3/2/21	3/4/21	Y
258	WTL309	10/10/20	5558C	49	3	M	"Stimulation in SuM, FP in NAc"	1/5/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV9-hSYN-GcAMP-GFP in Nac, fibers in SuM and NAc"	Control in dHPC			3/3/21	3/4/21	Y
259	WTL309	10/10/20	5558C	49	4	M	"Stimulation in SuM, FP in NAc"	1/5/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV9-hSYN-GcAMP-GFP in Nac, fibers in SuM and NAc"	Control in dHPC			3/3/21	3/4/21	Y
260	WTL309	10/10/20	5558C	49	5	M	"Stimulation in SuM, FP in NAc"	1/5/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV9-hSYN-GcAMP-GFP in Nac, fibers in SuM and NAc"				3/3/21	3/4/21	Y
															
261	WTL310	10/1/20	5558C	50	1	M	"Stimulation in SuM, FP in NAc"	1/5/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV9-hSYN-GcAMP-GFP in Nac, fibers in SuM and NAc"				3/3/21	3/4/21	Y
262	WTL310	10/1/20	5558C	50	2	M	"Stimulation in SuM, FP in NAc"	1/5/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV9-hSYN-GcAMP-GFP in Nac, fibers in SuM and NAc"	Control in dHPC (FDIC)	-	-	-	-	-
263	WTL310	10/1/20	5558C	50	3	M	"Stimulation in SuM, FP in NAc"	1/5/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV9-hSYN-GcAMP-GFP in Nac, fibers in SuM and NAc"	Control in dHPC			3/3/21	3/4/21	Y
264	WTL310	10/1/20	5558C	50	4	M	"Stimulation in SuM, FP in NAc"	1/5/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV9-hSYN-GcAMP-GFP in Nac, fibers in SuM and NAc"				3/3/21	3/4/21	Y
															
265	WTL311	10/10/20	5558C	51	1	M	"Stimulation in SuM, FP in NAc"	1/5/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV9-hSYN-GcAMP-GFP in Nac, fibers in SuM and NAc"				3/3/21	3/4/21	Y
266	WTL311	10/10/20	5558C	51	2	M	"Stimulation in SuM, FP in NAc"	1/5/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV9-hSYN-GcAMP-GFP in Nac, fibers in SuM and NAc"				3/3/21	3/4/21	Y
267	WTL311	10/10/20	5558C	51	3	M	"Stimulation in SuM, FP in NAc"	1/5/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV9-hSYN-GcAMP-GFP in Nac, fibers in SuM and NAc"	Control in dHPC			3/3/21	3/8/21	Y
268	WTL311	10/10/20	5558C	51	4	M	"Stimulation in SuM, FP in NAc"	1/5/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV9-hSYN-GcAMP-GFP in Nac, fibers in SuM and NAc"	Control in dHPC (FDIC)	-	-	-	-	-
															
269	WTL312	10/14/20	5558C	52	1	M	"Stimulation in SuM, FP in NAc"	1/5/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV9-hSYN-GcAMP-GFP in Nac, fibers in SuM and NAc"				3/3/21	4/27/21	Y
270	WTL312	10/14/20	5558C	52	2	M	"Stimulation in SuM, FP in NAc"	1/5/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV9-hSYN-GcAMP-GFP in Nac, fibers in SuM and NAc"	Control in dHPC			3/3/21	4/27/21	Y
271	WTL312	10/14/20	5558C	52	3	M	"Stimulation in SuM, FP in NAc"	1/5/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV9-hSYN-GcAMP-GFP in Nac, fibers in SuM and NAc"	Control in dHPC			3/3/21	4/27/21	Y
272	WTL315	10/21/20	5558C	53	1	M	"Stimulation in SuM, FP in NAc"	1/5/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV9-hSYN-GcAMP-GFP in Nac, fibers in SuM and NAc"				3/3/21	4/27/21	Y
272	WTL315	10/21/20	5558C	53	2	M	"Stimulation in SuM, FP in NAc"	1/5/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV9-hSYN-GcAMP-GFP in Nac, fibers in SuM and NAc"	Control DIED	-	-	-	-	-
															
273	WTL322	11/13/20	5558C	54	1	M	Cannula/Elec combo for SK2	1/21/21	Cannula/Elec combo in dHPC			2/16/21	2/24/21	3/1/21	Y
274	WTL322	11/13/20	5558C	54	2	M	Cannula/Elec combo for SK2	1/21/21	Cannula/Elec combo in dHPC			2/16/21	2/24/21	3/1/21	Y
275	WTL322	11/13/20	5558C	54	3	M	Cannula/Elec combo for SK2	1/21/21	Cannula/Elec combo in dHPC			2/16/21	2/24/21	3/1/21	Y
276	WTL322	11/13/20	5558C	54	4	M	Cannula/Elec combo for SK2	1/21/21	Cannula/Elec combo in dHPC			2/16/21	2/24/21	2/25/21	Y
277	WTL322	11/13/20	5558C	54	5	M	Cannula/Elec combo for SK2	1/21/21	Cannula/Elec combo in dHPC	1/24/21	-	-	-	-	-
278	WTL322	11/13/20	5558C	54	6	M	Cannula/Elec combo for SK2	1/21/21	Cannula/Elec combo in dHPC	1/24/21	-	-	-	-	-
279	WTL322	11/13/20	5558C	54	7	M	Cannula/Elec combo for SK2	1/21/21	Cannula/Elec combo in dHPC			2/16/21	2/24/21	2/26/21	Y
															
280	WTL331	12/10/20	5558C	55	1	M	"Stimulation in dHPC, FP in Nac"	1/9/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV9-hSYN-GcAMP-GFP in Nac"		Saline	5/21/21			
281	WTL331	12/10/20	5558C	55	2	M	"Stimulation in dHPC, FP in Nac"	1/9/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV9-hSYN-GcAMP-GFP in Nac"	FDIC	-	-	-	-	-
282	WTL331	12/10/20	5558C	55	3	M	"Stimulation in dHPC, FP in Nac"	1/9/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV9-hSYN-GcAMP-GFP in Nac"	FDIC	-	-	-	-	-
283	WTL331	12/10/20	5558C	55	4	M	"Stimulation in dHPC, FP in Nac"	1/9/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV9-hSYN-GcAMP-GFP in Nac"		CFA	5/21/21			
															
284	WTL331	12/10/20	5558C	56	1	M	"Stimulation in dHPC, FP in Nac"	1/9/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV9-hSYN-GcAMP-GFP in Nac"		Saline	5/21/21			
285	WTL331	12/10/20	5558C	56	2	M	"Stimulation in dHPC, FP in Nac"	1/9/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV9-hSYN-GcAMP-GFP in Nac"	FDIC	-	-	-	-	-
286	WTL331	12/10/20	5558C	56	3	M	"Stimulation in dHPC, FP in Nac"	1/9/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV9-hSYN-GcAMP-GFP in Nac"		CFA	5/21/21			
287	WTL328	11/28/20	5558C	56	4	M	"Stimulation in dHPC, FP in Nac"	1/9/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV9-hSYN-GcAMP-GFP in Nac"	FDIC	-	-	-	-	-
															
288	WTL332	12/10/20	5558C	57	1	M	"Stimulation in dHPC, FP in Nac"	1/9/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV9-hSYN-GcAMP-GFP in Nac"	FDIC	-	-	-	-	-
289	WTL332	12/10/20	5558C	57	2	M					Saline	5/21/21			
290	WTL332	12/10/20	5558C	57	3	M				FDIC	-	-	-	-	-
291	WTL332	12/10/20	5558C	57	4	M					CFA	5/21/21			
															
292	WTL324	11/16/20	5558C	58	1	M	Cannula/ Electro combo + CPP	2/16/21	Cannula / Electrode combo in dHPC			4/7/21	4/19/21	4/19/21	Y
293	WTL324	11/16/20	5558C	58	2	M						4/7/21	4/19/21	4/19/21	Y
294	WTL324	11/16/20	5558C	58	3	M						4/7/21	4/19/21	4/19/21	Y
295	WTL324	11/16/20	5558C	58	4	M						4/7/21	4/19/21	4/21/21	Y
296	WTL324	11/16/20	5558C	58	5	M						4/7/21	4/19/21	4/21/21	Y
															
297	WTL327	11/23/20	5558C	59	1	M	Viral tracing from MS to dHPC	2/25/21	CAMKII-eYPF in MS			4/7/21	4/21/21	4/23/21	Y
298	WTL327	11/23/20	5558C	59	2	M						4/7/21	4/21/21	4/23/21	Y
299	WTL327	11/23/20	5558C	59	3	M						4/7/21	4/21/21	4/23/21	Y
300	WTL327	11/23/20	5558C	59	4	M						4/7/21	4/21/21	4/23/21	Y
301	WTL327	11/23/20	5558C	59	5	M				FDIC		4/7/21	-	-	-
															
302	WTL337	12/16/20	5558C	60	1	M	Viral tracing from dHPC for Hannah's IHC	3/1/21	CAMKII-eYPF in MS			4/7/21	4/14/21	Brain passed to Hannah after slicing.	-
303	WTL337	12/16/20	5558C	60	2	M						4/7/21	4/14/21		-
304	WTL337	12/16/20	5558C	60	3	M						4/7/21	4/14/21		-
305	WTL338	12/16/20	5558C	60	4	M						4/7/21	4/15/21		-
306	WTL338	12/16/20	5558C	60	5	M						4/7/21	4/15/21		-
															
307	WTL365	2/8/21	5558C	61	1	M	Cannula/ Electro combo + CPP	4/6/21	Cannula / Electrode combo in dHPC	FDIC	-	-	-	-	-
308	WTL365	2/8/21	5558C	61	2	M	Cannula/ Electro combo + CPP	4/6/21	Cannula / Electrode combo in dHPC	FDIC	-	-	-	-	-
309	WTL365	2/8/21	5558C	61	3	M	Cannula/ Electro combo + CPP	4/6/21	Cannula / Electrode combo in dHPC			5/7/21			Y
310	WTL365	2/8/21	5558C	61	4	M	Cannula/ Electro combo + CPP	4/6/21	Cannula / Electrode combo in dHPC	FDIC	-	-	-	-	-
311	WTL365	2/8/21	5558C	61	5	M	Cannula/ Electro combo + CPP	4/6/21	Cannula / Electrode combo in dHPC			5/7/21			Y
312	WTL364	2/2/21	5558C	61	1R	M	Cannula/ Electro combo + CPP	4/8/21	Cannula / Electrode combo in dHPC			5/7/21			Y
313	WTL364	2/2/21	5558C	61	2R	M	Cannula/ Electro combo + CPP	4/8/21	Cannula / Electrode combo in dHPC			5/7/21			Y
314	WTL364	2/2/21	5558C	61	4R	M	Cannula/ Electro combo + CPP	4/8/21	Cannula / Electrode combo in dHPC			5/7/21			Y
															
315	WTL376	3/7/21	5558C	62	1	M	Cannula/ Electro combo + CPP	5/10/21	Cannula / Electrode combo in dHPC			6/3/21	6/7/21	6/7/21	Y
316	WTL376	3/7/21	5558C	62	2	M	Cannula/ Electro combo + CPP	5/10/21	Cannula / Electrode combo in dHPC			6/3/21	6/7/21	6/7/21	Y
317	WTL376	3/7/21	5558C	62	3	M	Cannula/ Electro combo + CPP	5/10/21	Cannula / Electrode combo in dHPC			6/3/21	6/7/21	6/7/21	Y
318	WTL376	3/7/21	5558C	62	4	M	Cannula/ Electro combo + CPP	5/10/21	Cannula / Electrode combo in dHPC			6/3/21	6/7/21	6/7/21	Y
319	WTL376	3/7/21	5558C	62	5	M	Cannula/ Electro combo + CPP	5/10/21	Cannula / Electrode combo in dHPC			6/3/21	6/7/21	6/7/21	Y
															
320	WTL358	1/30/21	5558C	63	1	M	Viral tracing in the MS	5/11/21	AAV-hSYN-eGFP in the MS			6/10/21			
321	WTL358	1/30/21	5558C	63	2	M	Viral tracing in the MS	5/11/21	AAV-hSYN-eGFP in the MS			6/10/21	6/14/21	6/15/21	Y
322	WTL358	1/30/21	5558C	63	3	M	Viral tracing in the MS	5/11/21	AAV-hSYN-eGFP in the MS			6/10/21	6/14/21	6/15/21	Y
323	WTL358	1/30/21	5558C	63	4	M	Viral tracing in the MS	5/11/21	AAV-hSYN-eGFP in the MS			6/10/21	6/14/21	6/15/21	Y
															
324	WRL379	3/16/21	5558C	64	1	M	RTPT +CFA	5/17/21	AAV-CaMKII-ChR2 in dHPC	Done with Sulan		7/23/21	7/26/21	7/28/21	Y
325	WRL379	3/16/21	5558C	64	2	M	RTPT +CFA	5/17/21	AAV-CaMKII-ChR2 in dHPC	Done with Sulan		7/23/21	7/26/21	7/28/21	Y
															
326	WTL380	3/17/21	5558C	65	1	M	RTPT + CFA	5/17/21	AAV-CaMKII-ChR2 in dHPC	Done with Sulan		7/23/21	7/26/21	7/28/21	Y
327	WTL380	3/17/21	5558C	65	2	M	RTPT + CFA	5/17/21	AAV-CaMKII-ChR2 in dHPC	Done with Sulan		7/23/21	7/26/21	7/28/21	Y
328	WTL380	3/17/21	5558C	65	3	M	RTPT + CFA	5/17/21	AAV-CaMKII-ChR2 in dHPC	Done with Sulan		7/23/21	7/26/21	7/28/21	Y
329	WTL380	3/17/21	5558C	65	4	M	RTPT + CFA	5/17/21	AAV-CaMKII-ChR2 in dHPC	Done with Sulan		7/23/21	7/26/21	7/28/21	Y
330	WTL380	3/17/21	5558C	65	5	M	RTPT + CFA	5/17/21	AAV-CaMKII-ChR2 in dHPC	Done with Sulan		7/23/21	7/26/21	7/28/21	Y
															
331	WTL381	3/20/21	5558C	66	1	M	RTPT + CFA	5/17/21	AAV-CaMKII-ChR2 in dHPC	Done with Sulan		7/23/21	7/26/21	7/28/21	Y
332	WTL381	3/20/21	5558C	66	2	M	RTPT + CFA	5/17/21	AAV-CaMKII-ChR2 in dHPC	Done with Sulan		7/23/21	7/26/21	7/28/21	Y
333	WTL381	3/20/21	5558C	66	3	M	RTPT + CFA	5/17/21	AAV-CaMKII-ChR2 in dHPC	Done with Sulan		7/23/21	7/26/21	7/28/21	Y
334	WTL381	3/20/21	5558C	66	4	M	RTPT + CFA	5/17/21	AAV-CaMKII-ChR2 in dHPC	Done with Sulan		7/23/21	7/26/21	7/28/21	Y
335	WTL381	3/20/21	5558C	66	5	M	RTPT + CFA	5/17/21	AAV-CaMKII-ChR2 in dHPC	Done with Sulan		7/23/21	7/26/21	7/28/21	Y
															
356	WTL383	3/22/21	5558C	67	1	M	Cannula/ Electro combo + CPP	6/8/21	Cannula / Electrode combo in dHPC			Y	7/8/21	7/12/21	Y
357	WTL383	3/22/21	5558C	67	2	M	Cannula/ Electro combo + CPP	6/8/21	Cannula / Electrode combo in dHPC			Y	7/8/21	7/12/21	Y
358	WTL383	3/22/21	5558C	67	3	M	Cannula/ Electro combo + CPP	6/8/21	Cannula / Electrode combo in dHPC			Y	7/8/21	7/12/21	Y
359	WTL383	3/22/21	5558C	67	4	M	Cannula/ Electro combo + CPP	6/8/21	Cannula / Electrode combo in dHPC			Y	7/8/21	7/12/21	Y
360	WTL383	3/22/21	5558C	67	5	M	Cannula/ Electro combo + CPP	6/8/21	Cannula / Electrode combo in dHPC			Y	7/8/21	7/12/21	Y
															
361	WTL389	3/28/21	5558C	68	1	M	"stim in the dHPC, FP in the NAc. CFA vs Sal"	6/22/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV9-hSYN-GcAMP-GFP in Nac; Sulan did viral and Nisa did fibers"		Saline	Y			
362	WTL389	3/28/21	5558C	68	2	M	"stim in the dHPC, FP in the NAc. CFA vs Sal"	6/22/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV9-hSYN-GcAMP-GFP in Nac; Sulan did viral and Nisa did fibers"	Replaced with WTL392	CFA	Y			
363	WTL390	3/28/21	5558C	68	3	M	"stim in the dHPC, FP in the NAc. CFA vs Sal"	6/22/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV9-hSYN-GcAMP-GFP in Nac; Sulan did viral and Nisa did fibers"		Saline	Y			
364	WTL390	3/28/21	5558C	68	4	M	"stim in the dHPC, FP in the NAc. CFA vs Sal"	6/22/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV9-hSYN-GcAMP-GFP in Nac; Sulan did viral and Nisa did fibers"	Died post-CFA injection	-	-	-	-	-
365	WTL391	3/29/21	5558C	69	1	M	"stim in the dHPC, FP in the NAc. CFA vs Sal"	6/22/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV9-hSYN-GcAMP-GFP in Nac; Sulan did viral and Nisa did fibers"		CFA	Y			
366	WTL391	3/29/21	5558C	69	2	M	"stim in the dHPC, FP in the NAc. CFA vs Sal"	6/22/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV9-hSYN-GcAMP-GFP in Nac; Sulan did viral and Nisa did fibers"		CFA	Y			
367	WTL391	3/29/21	5558C	69	3	M	"stim in the dHPC, FP in the NAc. CFA vs Sal"	6/22/21	"AAV-CAMKII-ChR2-eYFP in dHPC, AAV9-hSYN-GcAMP-GFP in Nac; Sulan did viral and Nisa did fibers"	Sac due to laceration on skin	-	-	-	-	-
